time_index,windspeed_160m_43.806076_-67.87906,windspeed_160m_43.768635_-67.90427,windspeed_160m_43.82427_-67.93097,windspeed_160m_43.82449_-67.90515,windspeed_160m_43.80587_-67.90485,windspeed_160m_43.78725_-67.90457,windspeed_160m_43.80565_-67.930664,windspeed_160m_43.787453_-67.878784,windspeed_160m_43.82469_-67.87933,windspeed_160m_43.787033_-67.93036,power_160m_43.806076_-67.87906,power_160m_43.768635_-67.90427,power_160m_43.82427_-67.93097,power_160m_43.82449_-67.90515,power_160m_43.80587_-67.90485,power_160m_43.78725_-67.90457,power_160m_43.80565_-67.930664,power_160m_43.787453_-67.878784,power_160m_43.82469_-67.87933,power_160m_43.787033_-67.93036,power_160m_43.806076_-67.87906_cf_before_loss,power_160m_43.768635_-67.90427_cf_before_loss,power_160m_43.82427_-67.93097_cf_before_loss,power_160m_43.82449_-67.90515_cf_before_loss,power_160m_43.80587_-67.90485_cf_before_loss,power_160m_43.78725_-67.90457_cf_before_loss,power_160m_43.80565_-67.930664_cf_before_loss,power_160m_43.787453_-67.878784_cf_before_loss,power_160m_43.82469_-67.87933_cf_before_loss,power_160m_43.787033_-67.93036_cf_before_loss,power_160m_43.806076_-67.87906_cf_after_loss,power_160m_43.768635_-67.90427_cf_after_loss,power_160m_43.82427_-67.93097_cf_after_loss,power_160m_43.82449_-67.90515_cf_after_loss,power_160m_43.80587_-67.90485_cf_after_loss,power_160m_43.78725_-67.90457_cf_after_loss,power_160m_43.80565_-67.930664_cf_after_loss,power_160m_43.787453_-67.878784_cf_after_loss,power_160m_43.82469_-67.87933_cf_after_loss,power_160m_43.787033_-67.93036_cf_after_loss,power_160m_43.806076_-67.87906_cf_before_loss_cf_after_loss,power_160m_43.768635_-67.90427_cf_before_loss_cf_after_loss,power_160m_43.82427_-67.93097_cf_before_loss_cf_after_loss,power_160m_43.82449_-67.90515_cf_before_loss_cf_after_loss,power_160m_43.80587_-67.90485_cf_before_loss_cf_after_loss,power_160m_43.78725_-67.90457_cf_before_loss_cf_after_loss,power_160m_43.80565_-67.930664_cf_before_loss_cf_after_loss,power_160m_43.787453_-67.878784_cf_before_loss_cf_after_loss,power_160m_43.82469_-67.87933_cf_before_loss_cf_after_loss,power_160m_43.787033_-67.93036_cf_before_loss_cf_after_loss
2020-01-01 00:00:00+00:00,15.71,15.64,15.68,15.72,15.7,15.66,15.66,15.68,15.74,15.63,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05
2020-01-01 01:00:00+00:00,15.98,15.97,15.84,15.92,15.9,15.93,15.83,16,15.99,15.85,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05
2020-01-01 02:00:00+00:00,15.78,15.54,15.87,15.88,15.77,15.65,15.76,15.67,15.88,15.64,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05
2020-01-01 03:00:00+00:00,14.82,14.66,14.8,14.81,14.8,14.76,14.77,14.8,14.83,14.71,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05
2020-01-01 04:00:00+00:00,15.46,15.63,15.33,15.38,15.42,15.53,15.39,15.55,15.43,15.51,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05
2020-01-01 05:00:00+00:00,15.16,15.19,14.86,15,15.04,15.12,14.92,15.22,15.14,15.01,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05
2020-01-01 06:00:00+00:00,13.17,13.15,12.83,12.95,13.05,13.13,12.92,13.26,13.08,12.98,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05
2020-01-01 07:00:00+00:00,11.89,11.96,11.59,11.71,11.78,11.86,11.67,11.97,11.82,11.76,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05
2020-01-01 08:00:00+00:00,12.35,12.47,12.16,12.2,12.29,12.38,12.23,12.44,12.25,12.32,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05
2020-01-01 09:00:00+00:00,11.52,11.5,11.25,11.33,11.44,11.45,11.35,11.55,11.42,11.35,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05,8.33E-05
